question,option_a,option_b,option_c,option_d,correct_option,topic
"What is the time complexity of merge sort?", "O(n)", "O(n log n)", "O(log n)", "O(n^2)", "B", "Sorting Algorithms"
"Which data structure uses LIFO?", "Stack", "Queue", "Array", "Linked List", "A", "Data Structures"
"What is the derivative of x²?", "2x", "x²", "1", "x", "A", "Calculus"
"How does a neural network learn?", "By adjusting weights using backpropagation", "By minimizing entropy", "By using decision trees", "By clustering data", "A", "Machine Learning"
"Which algorithm is used for searching an element in a sorted array?", "Linear Search", "Binary Search", "Quick Sort", "Heap Sort", "B", "Algorithms"
"Which of the following is a primary key in a database?", "ID Number", "Name", "Age", "Address", "A", "Databases"
"What is the capital of France?", "Berlin", "Madrid", "Paris", "London", "C", "Geography"
"Who developed the theory of relativity?", "Isaac Newton", "Nikola Tesla", "Albert Einstein", "Galileo Galilei", "C", "Physics"
"What is the difference between a list and a tuple?", "List is mutable, tuple is immutable", "List is immutable, tuple is mutable", "Both are mutable", "Neither is mutable", "A", "Python"
"Which data structure uses a FIFO method?", "Stack", "Queue", "Array", "Linked List", "B", "Data Structures"
"Explain how you would optimize a search algorithm for a large dataset.", "Use binary search", "Use linear search", "Use a hash table", "Use quicksort", "C", "Algorithms"
"Design a model to predict the stock market.", "Linear regression model", "Decision tree model", "Random forest model", "Support vector machine model", "A", "Machine Learning"
"How would you debug a complex Python program?", "Use print statements", "Use a debugger", "Use exception handling", "Use unit tests", "B", "Python"
"Analyze the efficiency of quicksort in comparison to merge sort.", "Quicksort is always faster", "Merge sort is always faster", "Both have the same performance", "Quicksort is faster on average", "D", "Sorting Algorithms"
"Create a function that reverses a string in Python.", "Use a loop", "Use slicing", "Use recursion", "Use list comprehension", "B", "Python"
"Evaluate the impact of climate change on global weather patterns.", "It causes more extreme weather events", "It causes more rainfall", "It reduces the frequency of storms", "It causes a decrease in global temperature", "A", "Environmental Science"
"What are the main components of a computer system?", "CPU, RAM, Hard Disk", "Monitor, Keyboard, Mouse", "CPU, Keyboard, Mouse", "CPU, RAM, Power Supply", "A", "Computer Science"
"Describe the process of photosynthesis.", "Converting glucose to oxygen", "Converting carbon dioxide to oxygen", "Converting sunlight to energy", "Converting sunlight to glucose", "D", "Biology"
"Identify the key features of object-oriented programming.", "Encapsulation, inheritance, polymorphism", "Modularity, debugging, interfaces", "Abstraction, recursion, inheritance", "Polymorphism, debugging, encapsulation", "A", "Programming"
"How would you implement a binary search tree?", "Use an array", "Use a linked list", "Use a tree structure", "Use a graph structure", "C", "Data Structures"
"Discuss the ethical implications of artificial intelligence.", "AI can replace jobs", "AI will never surpass humans", "AI will be used for military purposes", "AI will help in healthcare", "A", "Ethics"
"Which planet is known as the Red Planet?", "Mars", "Venus", "Earth", "Jupiter", "A", "Astronomy"
"What is the function of the mitochondria?", "Energy production", "Protein synthesis", "Cell division", "DNA replication", "A", "Biology"
"How do you handle exceptions in Python?", "Use try/except block", "Use assert statement", "Use if/else block", "Use exception handling", "A", "Python"
"Explain the significance of the Turing test.", "Testing if a machine can think", "Testing if a machine can learn", "Testing if a machine can reason", "Testing if a machine can recognize objects", "A", "Computer Science"
"Compare and contrast the features of Java and Python.", "Java is faster, Python is easier", "Python is faster, Java is easier", "Java is easier, Python is faster", "Both are equally efficient", "A", "Programming"
"Design a user interface for a mobile application.", "Focus on functionality first", "Focus on aesthetics first", "Ensure compatibility with all devices", "Include as many features as possible", "A", "UI/UX Design"
"Evaluate the effectiveness of renewable energy sources.", "They reduce dependence on fossil fuels", "They are more expensive than fossil fuels", "They have no environmental impact", "They are only suitable for large cities", "A", "Environmental Science"
"Which gas is most abundant in the Earth's atmosphere?", "Oxygen", "Nitrogen", "Carbon Dioxide", "Argon", "B", "Chemistry"
"What is the pH level of pure water?", "5", "6", "7", "8", "C", "Chemistry"
"How do you create a virtual environment in Python?", "Use `virtualenv`", "Use `pip install`", "Use `conda`", "Use `python -m venv`", "D", "Python"
"Explain the concept of polymorphism in programming.", "Objects of different classes can be treated as objects of a common superclass", "Objects of the same class can behave differently", "One object can hold multiple values", "Objects can be reused across applications", "A", "Programming"
"Identify the main causes of World War I.", "Assassination of Archduke Franz Ferdinand", "The rise of Nazi Germany", "The spread of communism", "The industrial revolution", "A", "History"
"How would you improve the performance of a web application?", "Optimize the database queries", "Increase the server memory", "Compress the images", "All of the above", "D", "Web Development"
"Discuss the role of government in regulating technology.", "Government should regulate all tech", "Government should not interfere with tech", "Government should regulate AI only", "Government should regulate tech for safety and privacy", "D", "Politics"
"Which element has the atomic number 1?", "Hydrogen", "Oxygen", "Carbon", "Helium", "A", "Chemistry"
"What is the formula for calculating the area of a circle?", "πr²", "2πr", "πd", "πr", "A", "Mathematics"
"How do you implement a stack in Python?", "Use a list", "Use a queue", "Use a set", "Use a dictionary", "A", "Data Structures"
"Explain the differences between HTTP and HTTPS.", "HTTPS is more secure because it uses encryption", "HTTP is faster than HTTPS", "HTTP is more secure", "There is no difference", "A", "Web Development"
"Compare the economic systems of capitalism and socialism.", "Capitalism focuses on private ownership, socialism focuses on state ownership", "Capitalism focuses on state ownership, socialism focuses on private ownership", "Both systems focus on equal distribution of wealth", "Both systems encourage competition", "A", "Economics"
"Design a marketing strategy for a new product.", "Focus on product features", "Focus on customer needs", "Focus on competitor weaknesses", "Focus on price", "B", "Marketing"
"Evaluate the impact of social media on society.", "It has a positive effect on mental health", "It has a negative effect on mental health", "It encourages face-to-face communication", "It has no impact on society", "B", "Sociology"
"What is the process of cellular respiration?", "Converting glucose into ATP", "Converting oxygen into carbon dioxide", "Converting glucose into oxygen", "Converting light into energy", "A", "Biology"
"What is the significance of the Magna Carta?", "It limited the powers of the king", "It gave more rights to women", "It ended the medieval era", "It established the first democracy", "A", "History"
"How do you create a RESTful API?", "Use HTTP methods (GET, POST, PUT, DELETE)", "Use SOAP", "Use WebSockets", "Use SQL", "A", "Web Development"
"Explain the concept of inheritance in object-oriented programming.", "A class can inherit properties and methods from another class", "A class can store multiple objects", "A class can handle exceptions", "A class can define static methods", "A", "Programming"
"Identify the major themes in Shakespeare's works.", "Love, power, revenge", "Nature, time, fate", "War, peace, family", "Justice, innocence, guilt", "A", "Literature"
"How would you conduct a market research study?", "Survey customers", "Analyze competitors", "Monitor social media", "All of the above", "D", "Marketing"
